City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
195,Kingsport,US,36.5484,-82.5618,80.76,88,100,5.75,2022-08-15 16:14:45,overcast clouds
196,Mar Del Plata,AR,-38.0023,-57.5575,56.08,64,20,14.97,2022-08-15 16:17:10,few clouds
197,Alofi,NU,-19.0595,-169.9187,71.49,64,75,18.41,2022-08-15 16:15:19,broken clouds
198,Torbay,CA,47.6666,-52.7314,76.87,85,75,10.36,2022-08-15 16:17:10,broken clouds
199,Merrill,US,45.1805,-89.6835,72.1,73,75,3.44,2022-08-15 16:17:11,broken clouds
200,Cairns,AU,-16.9167,145.7667,65.07,96,23,1.14,2022-08-15 16:17:11,few clouds
201,Lagoa,PT,39.05,-27.9833,73.71,78,51,14.14,2022-08-15 16:17:12,broken clouds
202,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,53,0,25.32,2022-08-15 16:15:50,clear sky
203,Rajura,IN,19.7833,79.3667,74.89,91,100,7.72,2022-08-15 16:17:12,overcast clouds
204,Caravelas,BR,-17.7125,-39.2481,78.42,53,48,9.48,2022-08-15 16:17:13,scattered clouds
205,Davila,PH,18.4726,120.5763,76.98,89,100,12.57,2022-08-15 16:17:13,overcast clouds
206,Camana,PE,-16.6228,-72.7111,62.28,75,74,11.3,2022-08-15 16:17:13,broken clouds
207,Saldanha,ZA,-33.0117,17.9442,56.52,64,78,11.92,2022-08-15 16:17:14,broken clouds
208,Filadelfia,US,39.9523,-75.1638,83.82,57,75,11.5,2022-08-15 16:13:48,broken clouds
209,Elizabeth City,US,36.2946,-76.2511,80.6,67,40,9.22,2022-08-15 16:17:14,scattered clouds
210,Butaritari,KI,3.0707,172.7902,81.66,72,64,14.18,2022-08-15 16:17:15,broken clouds
211,Jaguaruna,BR,-28.615,-49.0256,77.58,57,77,10.38,2022-08-15 16:17:15,broken clouds
212,Shelburne,CA,44.0787,-80.2041,78.91,39,89,9.93,2022-08-15 16:15:05,overcast clouds
213,Worland,US,44.0169,-107.9554,75.67,58,0,5.75,2022-08-15 16:12:56,clear sky
214,Mahebourg,MU,-20.4081,57.7,70.25,88,40,11.5,2022-08-15 16:17:16,scattered clouds
215,Cape Town,ZA,-33.9258,18.4232,59.11,59,0,4.61,2022-08-15 16:15:04,clear sky
216,Akyab,MM,20.15,92.9,81.88,85,83,7.36,2022-08-15 16:17:17,broken clouds
217,Cururupu,BR,-1.8283,-44.8683,88.7,49,74,6.24,2022-08-15 16:17:18,broken clouds
218,Gambela,ET,8.25,34.5833,71.8,96,99,1.79,2022-08-15 16:17:18,light rain
219,San Quintin,MX,30.4833,-115.95,73.71,79,6,6.06,2022-08-15 16:17:12,clear sky
220,Shitanjing,CN,39.2342,106.3439,73.44,38,1,5.88,2022-08-15 16:17:19,clear sky
221,Kennett,US,36.2362,-90.0556,83.25,87,40,6.91,2022-08-15 16:17:19,scattered clouds
222,Korla,CN,41.7597,86.1469,88.63,25,87,6.24,2022-08-15 16:17:19,overcast clouds
223,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,11.5,2022-08-15 16:17:20,broken clouds
224,Beira,MZ,-19.8436,34.8389,75.29,78,20,19.57,2022-08-15 16:17:20,few clouds
225,Beringovskiy,RU,63.05,179.3167,52.07,93,100,7.07,2022-08-15 16:18:21,light rain
226,Klaksvik,FO,62.2266,-6.589,52.72,90,100,18.21,2022-08-15 16:18:21,overcast clouds
227,Kloulklubed,PW,7.0419,134.2556,75.7,69,88,3.96,2022-08-15 16:18:22,overcast clouds
228,Pacific Grove,US,36.6177,-121.9166,59.02,93,100,8.01,2022-08-15 16:13:27,mist
229,Stokmarknes,NO,68.5646,14.9108,67.98,68,0,4.61,2022-08-15 16:18:23,clear sky
230,Beyneu,KZ,45.3167,55.2,96.53,15,3,9.66,2022-08-15 16:18:23,clear sky
231,Port Alfred,ZA,-33.5906,26.891,52.18,83,93,3.67,2022-08-15 16:18:24,overcast clouds
232,Conceicao Do Araguaia,BR,-8.2578,-49.2647,98.02,19,6,6.8,2022-08-15 16:18:24,clear sky
